barcode,name,description
1,SCC Radio,Motorola CP200
2,SCC Radio,Motorola CP200
3,SCC Radio,Motorola CP200
4,SCC Radio,Motorola CP200
5,SCC Radio,Motorola CP200
6,SCC Radio,Motorola CP200
7,SCC Radio,Motorola CP200
8,SCC Radio,Motorola CP200
9,SCC Radio,Motorola CP200
10,SCC Radio,Motorola CP200
11,SCC Radio,Motorola CP200
12,SCC Radio,Motorola CP200
13,SCC Radio,Motorola CP200
14,SCC Radio,Motorola CP200
15,SCC Radio,Motorola CP200
16,SCC Radio,Motorola CP200
17,SCC Radio,Motorola CP200
18,SCC Radio,Motorola CP200
19,SCC Radio,Motorola CP200
20,SCC Radio,Motorola CP200
21,SCC Radio,Motorola CP200
22,SCC Radio,Motorola CP200
23,SCC Radio,Motorola CP200
24,SCC Radio,Motorola CP200
25,SCC Radio,
26,SCC Radio,White
27,SCC Radio,White
28,SCC Radio,White
29,SCC Radio,White
30,SCC Radio,
101,Watch Shift Radio,Motorola HT750
102,Watch Shift Radio,Motorola HT750
103,Watch Shift Radio,Motorola HT750
104,Watch Shift Radio,Motorola HT750
105,Watch Shift Radio,Motorola HT750
106,Watch Shift Radio,Motorola HT750
107,Watch Shift Radio,Motorola HT750
108,Watch Shift Radio,Motorola HT750
1453,Reel Tape Measure,300' Black
1550,Miter Saw,
1559,Level,
1561,Level,
1591,Drill,
1595,Drill,
1597,Battery,
1600,Battery,
1602,Drill,
1624,Hand Saw,
1626,Clamp,
1632,Crowbar,
1647,Jigsaw,
1752,Circular Saw,
1877,Battery,
1881,SCC Radio,Motorola CP200
1928,Drill,broken
1983,Battery,
2046,Brush,wire
2048,Brush,wire
2161,Dustpan,metal
2386,Wrench,
2396,Wrench,small wrench set missing many
2407,Battery,
2409,Battery,
2421,Camera (old),
2422,Camera (old),
2423,Camera (old),
2424,Camera (old),
2427,Ladder,
2507,Light,
2534,Drill,
2545,Drill,
2557,Light Up Stick,
2596,Square Clamp,
2597,Square Clamp,
2598,Square Clamp,
2611,Box Cutter,
2615,Belt Sander,
2618,Drill,
2619,Drill,
2620,Drill,
2636,Battery,
2721,Wrench,
2774,Magnet Broom,missing wheel
2776,Magnet Broom,
2784,Level,
2836,Drill,
2837,Drill,
2842,Drill,
2857,Drill,
2859,Drill,
2862,Drill,
2882,Drill,
2908,Level,
2910,Level,
2938,Drill,
2940,Drill,
3223,Ladder,
3226,Battery,
3228,Belt Sander,
3232,Belt Sander,
3289,Staple Gun,
3295,Light Tower,
3341,Light,
3346,Battery,
3347,Battery,
3348,Battery,
3379,Screwdriver,
3428,Level,
3458,Battery,
3518,Crowbar,
3545,Wrench,small
3546,Wrench,small
3559,Crowbar,
3560,Hand Saw,
3561,Hand Saw,
3579,Drill,
3582,Battery,
3588,Socket Wrench Set,
3600,Miter Saw,
3613,Battery,
3615,Box Cutter,
3624,Battery,
3625,Level,
3627,Level,
3628,Level,
3629,Level,
3659,Light Up Stick,
3671,Clamp,
3678,Sledgehammer,
3679,Stud Finder,
3691,Circular Saw,
3692,Ladder,
3696,Battery,
3699,Clamp,
3700,Clamp,
3705,Light Up Stick,
3706,Light Up Stick,
3711,Light Up Stick,
3712,Light Up Stick,
3716,Level,
3721,Level,
3722,Level,
3725,Level,
3726,Level,
3727,Level,
3729,Level,
3746,Battery,
3754,Clamp,
3782,Clamp,
3789,Ladder,
3802,Shovel,
5032,Ladder,
5033,Ladder,
5038,Ladder,
5065,Ladder,
5067,Ladder,
5068,Laser Level,
5069,Light,
5070,Light,
5071,Battery,
5072,Battery,
5075,Battery,
5079,Battery,
5081,Battery,
5083,Battery,
5084,Battery,
5085,Battery,
5086,Drill,
5087,Battery,
5088,Battery,
5089,Battery,
5122,Impact Driver,
5126,Clamp,
5129,Drill,
5130,Clamp,
5131,Clamp,
5132,Clamp,
5133,Clamp,
5134,Caulk Gun,
5135,Clamp,
5136,Clamp,
5137,Clamp,
5138,Caulk Gun,
5139,Clamp,
5140,Clamp,
5142,Screwdriver,
5145,Jigsaw,
5148,Screwdriver,
5149,Screwdriver,
5200,Clamp,
5201,Clamp,
5202,Clamp,
5203,Angle Measurer,
5204,Clamp,
5208,Clamp,
5209,Level,
5215,Drill,
5216,Drill,
5217,Jigsaw,
5218,Impact Driver,
5219,Drill,
5220,Drill,
5222,Drill,
5223,Drill,
5225,Impact Driver,
5226,Impact Driver,
5227,Drill,
5228,Drill,
5230,Impact Driver,
5231,Impact Driver,
5232,Drill,
5234,Screwdriver,
5235,Impact Driver,
5236,Drill,
5238,Hammer,
5239,Hammer,
5240,Pliers,
5241,Pliers,
5246,Caulk Gun,
5247,Cut Off Tool,
5248,Bandsaw,
5249,Wrench,
5252,Drill,
5256,Laser Level Stand,
5258,Drill,
5260,Headlamp,
5268,Jigsaw,
5269,Drill,
5272,Light,
5273,Drill,
5274,Wire Strippers,
5279,Drill,
5300,Pliers,
5308,Flashlight,doesn't work might need batteries
5310,Flashlight,doesn't work might need batteries
5311,Stud Finder,
5312,Wrench,set
5313,Sawzall,
5317,Pliers,
5328,Battery,
5329,Drill,
5330,Battery,
5331,Battery,
5405,Pliers,
5406,Pliers,
5407,Pliers,
5408,Pliers,
5409,Pliers,
5410,Pliers,
5412,Pliers,
5450,Screwdriver,
5451,Screwdriver,
5452,Screwdriver,
5453,Screwdriver,
5454,Bolt Thing,
5455,Exacto Knife,
5456,Scissor,
5457,Drill,
5458,Drill,
5459,Drill,
5460,Drill,
5461,Caulk Gun,
5462,Crowbar,
5464,Wrench,Vaun's fav <3
5465,Wrench,
5466,Wrench,
5467,Wrench,
5468,Wrench,
5469,Wrench,
5470,Wrench,
5471,Wrench,
5473,Wrench,
5474,Wrench,
5475,Wrench,
5476,Wrench,
5477,Wrench,
5500,Drill,
5501,Impact Driver,
5551,Drill,
5552,Battery,
5553,Screwdriver,
5554,Drill,
5555,Battery,
5557,Impact Wrench,
5558,Fish Tape Drum,
5559,Impact Wrench,
5560,Jobsite Radio,
5561,Orbit Sander,
5562,Angle Measurer,
5563,Jigsaw,
5564,Screwdriver,
5565,Screwdriver,
5566,Nail Puller,
5567,Staple Gun,
5568,Screwdriver,
5569,Screwdriver,
5570,Screwdriver,
5571,Pliers,
5572,Wrench,
5573,Wrench,
5574,Socket Wrench Set,
5575,Pliers,
5576,Wrench,
5577,Wrench,
5578,Jigsaw,
5579,Circular Saw,
5580,Wrench,small
5581,Jigsaw,
5583,Battery,
5584,Orbit Sander,
5585,Wire Strippers,
5586,Wire Strippers,
5587,Wire Strippers,
5588,Bandsaw,
5589,Miter Saw,
5590,Wire Strippers,
5591,Laser Measure,
5592,Bandsaw,
5596,Wire Strippers,
5599,Drill,
5600,Pliers,
5601,Pliers,
5602,Pliers,
5603,Screwdriver,
5606,Circular Saw,
5607,Battery,
5610,Screwdriver,
5611,Ladder,
5614,Ladder,
5615,Ladder,
5616,Light Tower,
5617,Light,
5618,Light,
5619,Light,
5620,Ruler,
5621,Level,
5622,Ruler,
5623,Light Up Stick,
5624,Drill,
5625,Hammer,
5626,Laser Level,
5628,Laser Level Stand,
5629,Trundle Wheel,
5630,Battery,
5632,Battery,
5633,Laser Level Stand,
5635,Battery,
5636,Battery,
5637,Battery,
5638,Battery,
5639,Wrench,
5640,Battery,
5641,Battery,
5642,Wrench,
5643,Wrench,
5644,Wrench,
5645,Wrench,
5646,Wrench,
5647,Wrench,
5648,Wrench,
5649,Wrench,
5663,Wrench,
5921,Level,
10001,Ladder,
10003,Clamp,
10009,Level,
10010,Level,
10011,Level,
10014,Clamp,
10017,Level,
10018,Clamp,
10019,Clamp,
10020,Clamp,
10022,Clamp,
10026,Laser Measure,
10029,Laser Measure,
10191,Hand Saw,
10193,Circular Saw,
10203,Stud Finder,
10204,Stud Finder,
10212,Wire Strippers,
10215,Drill,
10223,Circular Saw,
10232,Battery,
10234,Drill,
10236,Pliers,
10237,Light Tower,
10285,Drill,
10286,Hammer,
10287,Drill,
10290,Wrench,
11787,Battery,
11789,Battery,
11790,Battery,
11793,Battery,
11794,Battery,
11797,Battery,
11803,Battery,
11804,Battery,
11805,Battery,
11806,Battery,
11807,Battery,
11809,Battery,
11812,Battery,
11815,Battery,
11822,Battery,
11823,Battery,
11824,Battery,
11825,Battery,
11826,Battery,
11827,Battery,
11837,Battery,
11838,Battery,
11851,Battery,
11883,Drill,
11890,Inflator,
11912,Inflator,
